fid,id,left,top,right,bottom,row_index,col_index,sci_name_count,sci_name_unique,sci_name_empty,sci_name_filled,sci_name_min,sci_name_max,sci_name_min_length,sci_name_max_length,sci_name_mean_length
377,377,549333.3689,152306.674,551333.3689,150306.674,16,10,22,22,0,22,Abax parallelepipedus,Tytthaspis sedecimpunctata,11,30,20.3181818181818
378,378,549333.3689,150306.674,551333.3689,148306.674,17,10,46,23,0,46,Acilius sulcatus,Stenagostus rhombeus,7,43,18.1304347826087
379,379,549333.3689,148306.674,551333.3689,146306.674,18,10,96,84,0,96,Acilius sulcatus,Vincenzellus ruficollis,7,37,19.1458333333333
380,380,549333.3689,146306.674,551333.3689,144306.674,19,10,24,18,0,24,Aphodius fimetarius/pedellus,Stenus similis,14,43,20.5416666666667
381,381,549333.3689,144306.674,551333.3689,142306.674,20,10,25,18,0,25,Adalia bipunctata,Tatianaerhynchites aequatus,12,37,21.84
382,382,549333.3689,142306.674,551333.3689,140306.674,21,10,17,15,0,17,Adalia decempunctata,Tytthaspis sedecimpunctata,14,30,20.9411764705882
383,383,549333.3689,140306.674,551333.3689,138306.674,22,10,59,32,0,59,Adalia decempunctata,Typhaea stercorea,11,30,18.9830508474576
384,384,549333.3689,138306.674,551333.3689,136306.674,23,10,,,,,,,,,
401,401,551333.3689,176306.674,553333.3689,174306.674,4,11,5,2,0,5,Lucanus cervus,Ptinus sexpunctatus,14,19,15
402,402,551333.3689,174306.674,553333.3689,172306.674,5,11,301,136,0,301,Adalia bipunctata,Xantholinus longiventris,11,37,18.9933554817276
403,403,551333.3689,172306.674,553333.3689,170306.674,6,11,25,11,0,25,Adalia bipunctata,Pterostichus madidus,14,30,18.32
404,404,551333.3689,170306.674,553333.3689,168306.674,7,11,47,43,0,47,Abax parallelepipedus,Tychius picirostris,12,28,18.3404255319149
405,405,551333.3689,168306.674,553333.3689,166306.674,8,11,8,7,0,8,Aloconota gregaria,Tachyporus hypnorum,16,26,18.625
406,406,551333.3689,166306.674,553333.3689,164306.674,9,11,126,113,0,126,Abraeus perpusillus,Trixagus dermestoides,10,37,18.8333333333333
407,407,551333.3689,164306.674,553333.3689,162306.674,10,11,269,198,0,269,Abraeus perpusillus,Trypodendron domesticum,8,33,18.8921933085502
408,408,551333.3689,162306.674,553333.3689,160306.674,11,11,101,91,0,101,Agathidium varians,Tatianaerhynchites aequatus,8,30,19.019801980198
409,409,551333.3689,160306.674,553333.3689,158306.674,12,11,114,100,0,114,Adalia decempunctata,Volinus sticticus,11,43,19.7105263157895
410,410,551333.3689,158306.674,553333.3689,156306.674,13,11,1025,533,0,1025,Abax parallelepipedus,Xantholinus longiventris,9,43,19.1765853658537
411,411,551333.3689,156306.674,553333.3689,154306.674,14,11,138,105,0,138,Abax parallelepipedus,Tytthaspis sedecimpunctata,10,37,19.0652173913043
412,412,551333.3689,154306.674,553333.3689,152306.674,15,11,116,91,0,116,Abax parallelepipedus,Xantholinus longiventris,8,30,19.2586206896552
413,413,551333.3689,152306.674,553333.3689,150306.674,16,11,6,5,0,6,Coccinella septempunctata,Subcoccinella vigintiquattuorpunctata,20,37,26.1666666666667
414,414,551333.3689,150306.674,553333.3689,148306.674,17,11,7,7,0,7,Altica lythri,Tachyporus hypnorum,13,26,19.1428571428571
415,415,551333.3689,148306.674,553333.3689,146306.674,18,11,85,69,0,85,Acilius sulcatus,Trichosirocalus troglodytes,15,37,20.0117647058824
416,416,551333.3689,146306.674,553333.3689,144306.674,19,11,27,22,0,27,Adalia bipunctata,Tytthaspis sedecimpunctata,12,37,20.1481481481481
417,417,551333.3689,144306.674,553333.3689,142306.674,20,11,69,16,0,69,Elmis aenea,Rutpela maculata,8,30,15.4492753623188
418,418,551333.3689,142306.674,553333.3689,140306.674,21,11,15,15,0,15,Adalia bipunctata,Xantholinus linearis,15,30,19.1333333333333
419,419,551333.3689,140306.674,553333.3689,138306.674,22,11,50,28,0,50,Agriotes pallidulus,Tachyerges stigma,16,33,20.04
420,420,551333.3689,138306.674,553333.3689,136306.674,23,11,1,1,0,1,Pterostichus madidus,Pterostichus madidus,20,20,20
436,436,553333.3689,178306.674,555333.3689,176306.674,3,12,327,88,0,327,Agabus bipustulatus,Syntomus obscuroguttatus,12,43,20.0122324159021
437,437,553333.3689,176306.674,555333.3689,174306.674,4,12,222,90,0,222,Ablattaria laevigata,Tachyporus nitidulus,13,43,19.8153153153153
438,438,553333.3689,174306.674,555333.3689,172306.674,5,12,115,47,0,115,Abax parallelepipedus,Tatianaerhynchites aequatus,12,37,18.1913043478261
439,439,553333.3689,172306.674,555333.3689,170306.674,6,12,233,120,0,233,Abraeus perpusillus,Xantholinus linearis,11,43,19.1888412017167
440,440,553333.3689,170306.674,555333.3689,168306.674,7,12,472,323,0,472,Abax parallelepipedus,Xylocleptes bispinus,11,33,19.1313559322034
441,441,553333.3689,168306.674,555333.3689,166306.674,8,12,117,114,0,117,Abraeus perpusillus,Tytthaspis sedecimpunctata,11,30,19.1538461538462
442,442,553333.3689,166306.674,555333.3689,164306.674,9,12,10,8,0,10,Agonum muelleri,Pterostichus madidus,14,25,17.5
443,443,553333.3689,164306.674,555333.3689,162306.674,10,12,10,10,0,10,Agriotes obscurus,Tachyporus nitidulus,15,21,18.1
444,444,553333.3689,162306.674,555333.3689,160306.674,11,12,43,38,0,43,Agapanthia villosoviridescens,Trypodendron domesticum,14,43,20.1627906976744
445,445,553333.3689,160306.674,555333.3689,158306.674,12,12,57,50,0,57,Adalia bipunctata,Tychius picirostris,12,37,18.9649122807018
446,446,553333.3689,158306.674,555333.3689,156306.674,13,12,20,19,0,20,Ampedus balteatus,Rhagonycha fulva,15,37,21.65
447,447,553333.3689,156306.674,555333.3689,154306.674,14,12,150,125,0,150,Abax parallelepipedus,Volinus sticticus,10,37,19.3333333333333
448,448,553333.3689,154306.674,555333.3689,152306.674,15,12,303,220,0,303,Abax parallelepipedus,Xestobium rufovillosum,10,37,19.3333333333333
449,449,553333.3689,152306.674,555333.3689,150306.674,16,12,10,8,0,10,Athous haemorrhoidalis,Stenurella melanura,16,25,20.1
450,450,553333.3689,150306.674,555333.3689,148306.674,17,12,46,39,0,46,Adalia bipunctata,Xantholinus linearis,15,37,20.3913043478261
451,451,553333.3689,148306.674,555333.3689,146306.674,18,12,216,136,0,216,Abax parallelepipedus,Xantholinus linearis,11,37,19.8564814814815
452,452,553333.3689,146306.674,555333.3689,144306.674,19,12,182,137,0,182,Abax parallelepipedus,Variimorda villosa,11,37,19.5494505494506
453,453,553333.3689,144306.674,555333.3689,142306.674,20,12,16,13,0,16,Carabus violaceus,Rutpela maculata,8,25,16.75
454,454,553333.3689,142306.674,555333.3689,140306.674,21,12,5,5,0,5,Anaspis fasciata,Oedemera nobilis,15,25,17.6
455,455,553333.3689,140306.674,555333.3689,138306.674,22,12,116,69,0,116,Abax parallelepipedus,Variimorda villosa,12,30,19.7844827586207
456,456,553333.3689,138306.674,555333.3689,136306.674,23,12,1,1,0,1,Aleochara tristis,Aleochara tristis,17,17,17
472,472,555333.3689,178306.674,557333.3689,176306.674,3,13,1,1,0,1,Hydroporus palustris,Hydroporus palustris,20,20,20
473,473,555333.3689,176306.674,557333.3689,174306.674,4,13,77,69,0,77,Acrotrichis intermedia,Tenebrio molitor,11,33,18.6493506493506
474,474,555333.3689,174306.674,557333.3689,172306.674,5,13,433,232,0,433,Adalia bipunctata,Xantholinus linearis,12,37,19.2124711316397
475,475,555333.3689,172306.674,557333.3689,170306.674,6,13,468,243,0,468,Abraeus perpusillus,Xantholinus linearis,10,37,19.1175213675214
476,476,555333.3689,170306.674,557333.3689,168306.674,7,13,131,112,0,131,Acupalpus meridianus,Xylodromus depressus,11,29,18.2442748091603
477,477,555333.3689,168306.674,557333.3689,166306.674,8,13,38,37,0,38,Aleochara lanuginosa,Trichophya pilicornis,11,33,19.3157894736842
478,478,555333.3689,166306.674,557333.3689,164306.674,9,13,12,12,0,12,Amischa analis,Trachys scrobiculatus,14,22,19.1666666666667
479,479,555333.3689,164306.674,557333.3689,162306.674,10,13,66,60,0,66,Agaricochara latissima,Xantholinus linearis,8,30,19.4848484848485
480,480,555333.3689,162306.674,557333.3689,160306.674,11,13,15,15,0,15,Agaricochara latissima,Tachyporus hypnorum,14,33,20.0666666666667
481,481,555333.3689,160306.674,557333.3689,158306.674,12,13,13,9,0,13,Coccinella septempunctata,Tytthaspis sedecimpunctata,15,28,22.5384615384615
482,482,555333.3689,158306.674,557333.3689,156306.674,13,13,17,14,0,17,Adalia decempunctata,Sciodrepoides fumatus,12,26,20.4117647058824
483,483,555333.3689,156306.674,557333.3689,154306.674,14,13,49,47,0,49,Adalia decempunctata,Tetartopeus terminatus,10,43,19.6122448979592
484,484,555333.3689,154306.674,557333.3689,152306.674,15,13,308,229,0,308,Abax parallelepipedus,Xantholinus longiventris,10,37,19.288961038961
485,485,555333.3689,152306.674,557333.3689,150306.674,16,13,40,35,0,40,Adalia bipunctata,Volinus sticticus,13,37,19.5
486,486,555333.3689,150306.674,557333.3689,148306.674,17,13,119,80,0,119,Abax parallelepipedus,Tytthaspis sedecimpunctata,12,37,19.8823529411765
487,487,555333.3689,148306.674,557333.3689,146306.674,18,13,274,189,0,274,Abax parallelepipedus,Xantholinus longiventris,10,43,19.4452554744526
488,488,555333.3689,146306.674,557333.3689,144306.674,19,13,487,250,0,487,Abax parallelepipedus,Xantholinus longiventris,11,37,19.3285420944559
489,489,555333.3689,144306.674,557333.3689,142306.674,20,13,86,76,0,86,Abax parallelepipedus,Trichosirocalus troglodytes,10,30,19.7441860465116
490,490,555333.3689,142306.674,557333.3689,140306.674,21,13,4,3,0,4,Anthonomus bituberculatus,Epitrix pubescens,17,25,23
491,491,555333.3689,140306.674,557333.3689,138306.674,22,13,415,179,0,415,Abax parallelepipedus,Xantholinus longiventris,11,43,19.7518072289157
492,492,555333.3689,138306.674,557333.3689,136306.674,23,13,11,10,0,11,Ceratapion onopordi,Subcoccinella vigintiquattuorpunctata,17,37,23.3636363636364
509,509,557333.3689,176306.674,559333.3689,174306.674,4,14,96,77,0,96,Adalia bipunctata,Tychius junceus,12,43,19.9479166666667
510,510,557333.3689,174306.674,559333.3689,172306.674,5,14,200,128,0,200,Abax parallelepipedus,Xantholinus linearis,12,37,19.38
511,511,557333.3689,172306.674,559333.3689,170306.674,6,14,15,13,0,15,Acupalpus meridianus,Subcoccinella vigintiquattuorpunctata,12,37,21.2
512,512,557333.3689,170306.674,559333.3689,168306.674,7,14,91,89,0,91,Ahasverus advena,Xylodromus concinnus,11,33,18.6593406593407
513,513,557333.3689,168306.674,559333.3689,166306.674,8,14,6,6,0,6,Adalia bipunctata,Tachyporus nitidulus,17,20,17.8333333333333
514,514,557333.3689,166306.674,559333.3689,164306.674,9,14,10,10,0,10,Amara plebeja,Scaphidium quadrimaculatum,13,26,19.2
515,515,557333.3689,164306.674,559333.3689,162306.674,10,14,1,1,0,1,Proteinus brachypterus,Proteinus brachypterus,22,22,22
516,516,557333.3689,162306.674,559333.3689,160306.674,11,14,2,2,0,2,Coccinella septempunctata,Rutpela maculata,16,25,20.5
517,517,557333.3689,160306.674,559333.3689,158306.674,12,14,25,22,0,25,Aloconota gregaria,Tachyporus obtusus,12,29,19.84
518,518,557333.3689,158306.674,559333.3689,156306.674,13,14,48,42,0,48,Acupalpus dubius,Tetartopeus terminatus,7,30,19.2708333333333
519,519,557333.3689,156306.674,559333.3689,154306.674,14,14,78,56,0,78,Abax parallelepipedus,Tetartopeus terminatus,11,30,19.9615384615385
520,520,557333.3689,154306.674,559333.3689,152306.674,15,14,211,114,0,211,Abax parallelepipedus,Uleiota planatus,6,37,19.4312796208531
521,521,557333.3689,152306.674,559333.3689,150306.674,16,14,149,99,0,149,Adalia bipunctata,Xantholinus linearis,6,37,19.6375838926174
522,522,557333.3689,150306.674,559333.3689,148306.674,17,14,83,59,0,83,Abax parallelepipedus,Tytthaspis sedecimpunctata,11,37,19.6746987951807
523,523,557333.3689,148306.674,559333.3689,146306.674,18,14,60,46,0,60,Adalia bipunctata,Tatianaerhynchites aequatus,11,37,19.4833333333333
524,524,557333.3689,146306.674,559333.3689,144306.674,19,14,10,8,0,10,Adalia decempunctata,Tytthaspis sedecimpunctata,16,26,20.5
525,525,557333.3689,144306.674,559333.3689,142306.674,20,14,77,61,0,77,Agabus bipustulatus,Sitona suturalis,7,43,19.5584415584416
526,526,557333.3689,142306.674,559333.3689,140306.674,21,14,63,45,0,63,Adalia bipunctata,Xantholinus longiventris,10,30,19.015873015873
527,527,557333.3689,140306.674,559333.3689,138306.674,22,14,83,48,0,83,Abax parallelepipedus,Typhaeus typhoeus,12,30,20.2289156626506
528,528,557333.3689,138306.674,559333.3689,136306.674,23,14,,,,,,,,,
544,544,559333.3689,178306.674,561333.3689,176306.674,3,15,,,,,,,,,
545,545,559333.3689,176306.674,561333.3689,174306.674,4,15,166,80,0,166,Agabus bipustulatus,Vincenzellus ruficollis,7,31,19.1144578313253
546,546,559333.3689,174306.674,561333.3689,172306.674,5,15,337,258,0,337,Ablattaria laevigata,Xantholinus linearis,10,37,19.0029673590504
547,547,559333.3689,172306.674,561333.3689,170306.674,6,15,3,3,0,3,Agriotes sputator,Pterostichus madidus,17,25,20.6666666666667
548,548,559333.3689,170306.674,561333.3689,168306.674,7,15,16,16,0,16,Atomaria testacea,Tachyporus nitidulus,14,23,17.75
549,549,559333.3689,168306.674,561333.3689,166306.674,8,15,22,21,0,22,Agriotes acuminatus,Tachyporus hypnorum,16,21,17.9545454545455
550,550,559333.3689,166306.674,561333.3689,164306.674,9,15,19,13,0,19,Anaspis pulicaria,Tachinus rufipes,12,25,18.5789473684211
551,551,559333.3689,164306.674,561333.3689,162306.674,10,15,32,32,0,32,Acrotrichis intermedia,Tachinus rufipes,12,43,20.28125
552,552,559333.3689,162306.674,561333.3689,160306.674,11,15,13,13,0,13,Anotylus sculpturatus,Tachyporus obtusus,13,25,17.7692307692308
553,553,559333.3689,160306.674,561333.3689,158306.674,12,15,95,86,0,95,Abax parallelepipedus,Tychius junceus,12,33,18.9789473684211
554,554,559333.3689,158306.674,561333.3689,156306.674,13,15,261,145,0,261,Acrossus rufipes,Xantholinus linearis,6,37,18.6896551724138
555,555,559333.3689,156306.674,561333.3689,154306.674,14,15,16,16,0,16,Anotylus rugosus,Tachyporus pallidus,16,28,20.0625
556,556,559333.3689,154306.674,561333.3689,152306.674,15,15,17,17,0,17,Agonum gracile,Tachinus rufipes,11,22,18
557,557,559333.3689,152306.674,561333.3689,150306.674,16,15,210,135,0,210,Abax parallelepipedus,Xylodromus concinnus,14,43,19.9761904761905
558,558,559333.3689,150306.674,561333.3689,148306.674,17,15,5,5,0,5,Aspidapion radiolus,Pseudapion rufirostre,16,21,18.6
559,559,559333.3689,148306.674,561333.3689,146306.674,18,15,85,69,0,85,Adalia bipunctata,Tytthaspis sedecimpunctata,12,37,19.5294117647059
560,560,559333.3689,146306.674,561333.3689,144306.674,19,15,3,2,0,3,Coccinella septempunctata,Rhagonycha fulva,16,25,22
561,561,559333.3689,144306.674,561333.3689,142306.674,20,15,62,51,0,62,Agriotes acuminatus,Tatianaerhynchites aequatus,6,27,19.6129032258065
562,562,559333.3689,142306.674,561333.3689,140306.674,21,15,52,27,0,52,Adalia bipunctata,Stenurella melanura,12,30,20.2692307692308
563,563,559333.3689,140306.674,561333.3689,138306.674,22,15,30,26,0,30,Adalia decempunctata,Tytthaspis sedecimpunctata,10,29,19.5666666666667
564,564,559333.3689,138306.674,561333.3689,136306.674,23,15,5,4,0,5,Agabus didymus,Rhagonycha fulva,14,25,17.8
581,581,561333.3689,176306.674,563333.3689,174306.674,4,16,1,1,0,1,Hippodamia variegata,Hippodamia variegata,20,20,20
582,582,561333.3689,174306.674,563333.3689,172306.674,5,16,11,7,0,11,Aspidapion aeneum,Scymnus limbatus,14,25,17.0909090909091
583,583,561333.3689,172306.674,563333.3689,170306.674,6,16,7,5,0,7,Bembidion lampros,Pyrochroa coccinea,12,22,18.2857142857143
584,584,561333.3689,170306.674,563333.3689,168306.674,7,16,7,6,0,7,Coccinella septempunctata,Oulema duftschmidi/melanopus,12,28,18.5714285714286
585,585,561333.3689,168306.674,563333.3689,166306.674,8,16,3,3,0,3,Agonum muelleri,Leistus ferrugineus,15,19,17.6666666666667
586,586,561333.3689,166306.674,563333.3689,164306.674,9,16,10,9,0,10,Athous haemorrhoidalis,Trechus quadristriatus,16,37,23.3
587,587,561333.3689,164306.674,563333.3689,162306.674,10,16,1,1,0,1,Harpalus latus,Harpalus latus,14,14,14
588,588,561333.3689,162306.674,563333.3689,160306.674,11,16,188,148,0,188,Abax parallelepipedus,Variimorda villosa,14,43,19.5478723404255
589,589,561333.3689,160306.674,563333.3689,158306.674,12,16,35,27,0,35,Amara similata,Timarcha goettingensis,6,31,18.1714285714286
590,590,561333.3689,158306.674,563333.3689,156306.674,13,16,33,31,0,33,Abax parallelepipedus,Tachyporus hypnorum,14,26,19.8484848484848
591,591,561333.3689,156306.674,563333.3689,154306.674,14,16,72,57,0,72,Abraeus perpusillus,Thanasimus formicarius,12,43,20.4444444444444
592,592,561333.3689,154306.674,563333.3689,152306.674,15,16,48,42,0,48,Agathidium nigripenne,Tachyporus hypnorum,14,30,19.75
593,593,561333.3689,152306.674,563333.3689,150306.674,16,16,6,4,0,6,Elmis aenea,Sitona lineatus,6,17,11.8333333333333
594,594,561333.3689,150306.674,563333.3689,148306.674,17,16,16,16,0,16,Altica lythri,Rhyzobius litura,11,26,18.1875
595,595,561333.3689,148306.674,563333.3689,146306.674,18,16,92,79,0,92,Adalia decempunctata,Xantholinus linearis,13,43,19.7173913043478
596,596,561333.3689,146306.674,563333.3689,144306.674,19,16,9,8,0,9,Bruchus rufipes,Thanasimus formicarius,15,30,21.5555555555556
597,597,561333.3689,144306.674,563333.3689,142306.674,20,16,122,78,0,122,Abax parallelepipedus,Xantholinus longiventris,12,39,20.0573770491803
598,598,561333.3689,142306.674,563333.3689,140306.674,21,16,41,37,0,41,Acalles ptinoides,Tytthaspis sedecimpunctata,11,43,19.0243902439024
599,599,561333.3689,140306.674,563333.3689,138306.674,22,16,12,12,0,12,Agabus bipustulatus,Rhagonycha fulva,15,43,20.75
600,600,561333.3689,138306.674,563333.3689,136306.674,23,16,,,,,,,,,
617,617,563333.3689,176306.674,565333.3689,174306.674,4,17,,,,,,,,,
618,618,563333.3689,174306.674,565333.3689,172306.674,5,17,71,6,0,71,Apionidae,Tachyporus hypnorum,9,25,14.4788732394366
619,619,563333.3689,172306.674,565333.3689,170306.674,6,17,18,8,0,18,Adalia bipunctata,Pterostichus madidus,12,25,17.2222222222222
620,620,563333.3689,170306.674,565333.3689,168306.674,7,17,38,36,0,38,Adalia bipunctata,Tachyporus obtusus,14,26,18.5789473684211
621,621,563333.3689,168306.674,565333.3689,166306.674,8,17,9,7,0,9,Adalia bipunctata,Tytthaspis sedecimpunctata,16,26,22
622,622,563333.3689,166306.674,565333.3689,164306.674,9,17,44,43,0,44,Adalia bipunctata,Xantholinus linearis,14,30,19.4772727272727
623,623,563333.3689,164306.674,565333.3689,162306.674,10,17,8,7,0,8,Alosterna tabacicolor,Rhinusa linariae,16,25,19.625
624,624,563333.3689,162306.674,565333.3689,160306.674,11,17,129,88,0,129,Abax parallelepipedus,Trachyphloeus spinimanus,6,37,19.7829457364341
625,625,563333.3689,160306.674,565333.3689,158306.674,12,17,161,92,0,161,Adalia bipunctata,Zacladus exiguus,11,31,18.8260869565217
626,626,563333.3689,158306.674,565333.3689,156306.674,13,17,31,26,0,31,Amara familiaris,Tytthaspis sedecimpunctata,14,30,20.258064516129
627,627,563333.3689,156306.674,565333.3689,154306.674,14,17,88,58,0,88,Abax parallelepipedus,Typhaeus typhoeus,14,30,19.9090909090909
628,628,563333.3689,154306.674,565333.3689,152306.674,15,17,13,10,0,13,Anthobium unicolor,Stenus pallipes,9,22,19.0769230769231
629,629,563333.3689,152306.674,565333.3689,150306.674,16,17,4,4,0,4,Aspidapion radiolus,Philonthus cognatus,16,19,17.75
630,630,563333.3689,150306.674,565333.3689,148306.674,17,17,10,10,0,10,Aspidapion aeneum,Rhagonycha fulva,14,22,17.9
631,631,563333.3689,148306.674,565333.3689,146306.674,18,17,19,17,0,19,Adalia bipunctata,Taphrorychus villifrons,14,25,18.7894736842105
